name,logo_url,region_code,found_date,description
Atlanta Hawks,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Atlanta_Hawks_logo.svg/250px-Atlanta_Hawks_logo.svg.png,us,1946-01-01,"""An American professional basketball team based in Atlanta, the franchise's origins trace to the establishment of the Buffalo Bisons in 1946. The team has since been based in Moline, Illinois (as the Tri-Cities Blackhawks), Milwaukee, and St. Louis, where they won their only NBA Championship in 1958, before relocating to Atlanta in 1968."""
Boston Celtics,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/200px-Boston_Celtics.svg.png,us,1946-06-06,"""Based in Boston, the Celtics are one of the NBA's original franchises, founded in 1946. They are regarded as one of the most successful teams in league history, holding the record for the most NBA Championships with 18 titles. The team's historic rivalry with the Los Angeles Lakers is a cornerstone of NBA lore."""
Brooklyn Nets,https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Brooklyn_Nets_primary_icon_logo_2024.svg/250px-Brooklyn_Nets_primary_icon_logo_2024.svg.png,us,1967-01-01,"""Established in 1967 as the New Jersey Americans, a charter franchise of the American Basketball Association (ABA). The team became the New York Nets and won two ABA championships in 1974 and 1976, led by Hall of Famer Julius Erving. After the ABA-NBA merger, they moved back to New Jersey, playing as the New Jersey Nets from 1977 to 2012 before relocating to Brooklyn."""
Charlotte Hornets,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/Charlotte_Hornets_%282014%29.svg/250px-Charlotte_Hornets_%282014%29.svg.png,us,1988-01-01,"""An American professional team based in Charlotte, North Carolina. The original Hornets franchise was established in 1988 but relocated to New Orleans in 2002. The league returned to Charlotte in 2004 with the expansion Charlotte Bobcats. In 2014, the Bobcats were renamed the Hornets and acquired the history and records of the original 1988–2002 Charlotte team."""
Chicago Bulls,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Chicago_Bulls_logo.svg/200px-Chicago_Bulls_logo.svg.png,us,1966-01-16,"""Founded in 1966, the Chicago Bulls are a professional basketball team based in Chicago. The franchise is famed for its dynasty in the 1990s, when, led by Michael Jordan and Scottie Pippen, they won six NBA championships. The Bulls are the only NBA franchise to win multiple titles while never losing an NBA Finals series."""
Cleveland Cavaliers,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Cleveland_Cavaliers_logo.svg/250px-Cleveland_Cavaliers_logo.svg.png,us,1970-01-01,"""Based in Cleveland, Ohio, the Cavaliers joined the NBA in 1970 as an expansion team. The franchise's most successful period came with the drafting of LeBron James, who led the team to its first NBA Finals appearance in 2007 and its first and only NBA championship in 2016."""
Dallas Mavericks,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Dallas_Mavericks_logo.svg/210px-Dallas_Mavericks_logo.svg.png,us,1980-01-01,"""An American professional basketball team based in Dallas, Texas, founded in 1980. After a period of success in the 1980s, the franchise was defined by the career of Dirk Nowitzki, who led the team to its only NBA championship in 2011. The team has won three conference championships."""
Denver Nuggets,https://upload.wikimedia.org/wikipedia/en/thumb/7/76/Denver_Nuggets.svg/250px-Denver_Nuggets.svg.png,us,1967-01-01,"""Based in Denver, Colorado, the franchise was founded as the Denver Larks in 1967 as a charter member of the American Basketball Association (ABA), but was renamed the Rockets before its first season. The team was renamed the Nuggets in 1974 and joined the NBA in 1976 during the ABA-NBA merger. The team won its first NBA championship in 2023."""
Detroit Pistons,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Logo_of_the_Detroit_Pistons.svg/250px-Logo_of_the_Detroit_Pistons.svg.png,us,1937-01-01,"""An American professional basketball team based in Detroit. The franchise was founded in 1937 as the Fort Wayne Zollner Pistons, a semi-professional team that turned professional in 1941. After joining the NBA, the team relocated to Detroit in 1957. The Pistons have won three NBA championships (1989, 1990, 2004)."""
Golden State Warriors,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/200px-Golden_State_Warriors_logo.svg.png,us,1946-01-01,"""Founded in 1946 as the Philadelphia Warriors, a charter member of the Basketball Association of America (BAA). The team moved to the San Francisco Bay Area in 1962 and became the Golden State Warriors in 1971. The franchise has won seven championships, including the inaugural BAA championship in 1947 and four titles in the 21st century."""
Houston Rockets,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Rockets.svg/170px-Houston_Rockets.svg.png,us,1967-01-01,"""An American professional basketball team based in Houston, Texas. The franchise was established in 1967 as the San Diego Rockets, an expansion team. The team relocated to Houston in 1971. The Rockets won back-to-back NBA championships in 1994 and 1995, led by Hall of Fame center Hakeem Olajuwon."""
Indiana Pacers,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Indiana_Pacers.svg/250px-Indiana_Pacers.svg.png,us,1967-01-01,"""Based in Indianapolis, Indiana, the Pacers were founded in 1967 as a charter member of the American Basketball Association (ABA). They were a dominant force in the ABA, winning three championships. The Pacers joined the NBA in 1976 as part of the merger and reached the NBA Finals in 2000."""
Los Angeles Clippers,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Los_Angeles_Clippers_%282024%29.svg/250px-Los_Angeles_Clippers_%282024%29.svg.png,us,1970-01-01,"""An American professional team based in the Los Angeles area. The franchise was founded in 1970 as the Buffalo Braves. It relocated to San Diego in 1978, becoming the Clippers, before moving to Los Angeles in 1984. The franchise has won three division titles."""
Los Angeles Lakers,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/250px-Los_Angeles_Lakers_logo.svg.png,us,1946-01-01,"""One of the most successful teams in NBA history, the Lakers franchise began in 1946 as the Detroit Gems of the NBL. The team relocated to Minneapolis in 1947, becoming the Minneapolis Lakers and winning five championships before moving to Los Angeles in 1960. The Lakers have won 17 NBA championships in total, tied for the most in league history."""
Memphis Grizzlies,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/190px-Memphis_Grizzlies.svg.png,us,1995-01-01,"""An American professional basketball team based in Memphis, Tennessee. The franchise was established in 1995 as the Vancouver Grizzlies, as part of the NBA's expansion into Canada. The team relocated to Memphis in 2001. The Grizzlies have won two division titles."""
Miami Heat,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Miami_Heat_logo.svg/200px-Miami_Heat_logo.svg.png,us,1988-01-01,"""Based in Miami, Florida, the Heat joined the NBA in 1988 as an expansion team. The franchise has won three NBA championships (2006, 2012, 2013) and has made seven NBA Finals appearances, establishing itself as a perennial contender in the Eastern Conference."""
Milwaukee Bucks,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Milwaukee_Bucks_logo.svg/250px-Milwaukee_Bucks_logo.svg.png,us,1968-01-22,"""An American professional basketball team based in Milwaukee, Wisconsin, founded in 1968 as an expansion team. The Bucks won their first NBA championship in 1971, led by Kareem Abdul-Jabbar and Oscar Robertson. They won their second title 50 years later in 2021, led by Giannis Antetokounmpo."""
Minnesota Timberwolves,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/Minnesota_Timberwolves_logo.svg/250px-Minnesota_Timberwolves_logo.svg.png,us,1987-04-22,"""Based in Minneapolis, Minnesota, the Timberwolves joined the NBA in 1989 as an expansion team. The franchise's most successful period was in the late 1990s and early 2000s, led by Kevin Garnett, culminating in a Western Conference Finals appearance in 2004."""
New Orleans Pelicans,https://upload.wikimedia.org/wikipedia/en/thumb/0/0d/New_Orleans_Pelicans_logo.svg/250px-New_Orleans_Pelicans_logo.svg.png,us,2002-01-01,"""An American professional basketball team based in New Orleans, Louisiana. The franchise was established as the New Orleans Hornets in 2002 following the relocation of the original Charlotte Hornets. The team was renamed the Pelicans in 2013. They have won one division title."""
New York Knicks,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/New_York_Knicks_logo.svg/250px-New_York_Knicks_logo.svg.png,us,1946-01-01,"""Based in Manhattan, New York City, the Knicks are one of the two original NBA teams still located in their founding city. Established in 1946 as a charter member of the BAA, the Knicks have won two NBA championships (1970, 1973) and have a storied history at their home court, Madison Square Garden."""
Oklahoma City Thunder,https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Oklahoma_City_Thunder.svg/200px-Oklahoma_City_Thunder.svg.png,us,1967-01-01,"""An American professional basketball team based in Oklahoma City. The franchise was originally established as the Seattle SuperSonics in 1967, winning an NBA championship in 1979. The team relocated to Oklahoma City in 2008 and was renamed the Thunder. They reached the NBA Finals in 2012."""
