thumbnail,category,title,content
"https://www.mainbasket.com/thumbs/medium/uploads/post/2025/10/23/VJ.jpg","NBA","VJ Edgecombe Pecahkan Rekor Debut LeBron James","VJ Edgecombe mencetak sejarah di kuarter pertamanya di NBA. Membantu Philadelphia 76ers mengalahkan Boston Celtics dalam debutnya. Pemain berusia 20 tahun itu mencetak hingga 34 poin untuk membantu tim tamu mengalahkan Boston Celtics dengan skor 117-116. Tyrese Maxey mencetak 40 poin tertinggi dalam pertandingan pembuka NBA musim 2025-2026 untuk masing-masing tim."
"https://www.mainbasket.com/thumbs/extra-large/uploads/post/2025/10/23/1000375910.jpg","NBA","Debut yang Solid untuk Trio Baru Orlando Magic","Orlando Magic memulai perjalanan mereka di musim 2025-2026. Melakoni duel sesama Florida menghadapi Miami Heat, Magic menang 125-121, Rabu (22/10), waktu setempat. Kemenangan ini menunjukkan chemistry yang baik antara trio pemain baru mereka yang langsung berkontribusi signifikan."
"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfBFLvonua2gTt87_5sfgL49ls6dgmyfaX8hGVGJ5MoO_HVcADWLO0oZ3eUdgeIaqfzQM&usqp=CAU","NBA","Knicks Raih Kemenangan Perdana di Bawah Kendali Mike Brown","Ketika Jalen Brunson redup, bintang Knicks lainnya tampil menonjol dalam kemenangan New York atas Cleveland Cavaliers. OG Anunoby memperoleh 24 poin dan 14 rebound, Jalen Brunson mencetak 23 poin untuk mengalahkan Cavaliers, 119-111, pada Rabu malam (22/10) waktu AS, dalam pertandingan pertama mereka di bawah pelatih Mike Brown."
"https://gsp-image-cdn.wmsports.io/cms/prod/bleacher-report/getty_images/2202206844_large_cropped.jpg","DBL","Kegiatan Unggulan Al Maruf, Berkah Syiar DBL","Ada tiga sekolah yang sukses mengirimkan tim putra dan putri ke babak Championship Series DBL Jakarta 2025. Salah satunya adalah SMA Al Maruf Jakarta. Sementara dua sekolah lainnya adalah SMA 1 PSKD Jakarta dan SMA Jubilee Jakarta. Keseriusan membenahi dan membangun kekuatan basket untuk DBL memberi manfaat berlapis bagi SMA Al Maruf Jakarta."
"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHJ3meEOnWRVEMdNVDZ1uPFVCAGME9K7YaXUtGOXxOGaqiorceBMEkPguKBeGIP3U71b4&usqp=CAU","NBA","NBA 2025-2026 Dibanjiri Pemain Internasional","NBA musim 2025-2026 menorehkan rekor baru untuk jumlah pemain internasional. Pada musim 2024-2025, ada 125 pemain internasional dari 40 negara yang tampil. Namun di musim ini, jumlahnya bertambah menjadi 135 pemain dari 43 negara. Ini menunjukkan globalisasi basket yang semakin masif."
"https://www.hollywoodreporter.com/wp-content/uploads/2024/11/GettyImages-2185174400.jpg?w=2000&h=1126&crop=1","NBA","Michael Jordan Mengaku Sangat Gugup Saat Diminta Bermain Basket Lagi","Tayangan 'MJ: Insights to Excellence' menunjukkan gambaran kehidupan Michael Jordan setelah pensiun sebagai pemain. Jordan memilih untuk menyingkir dari dunia basket. Tapi ia masih memiliki jiwa kompetitif dan kadang rindu untuk kembali bermain lagi. Dalam wawancara eksklusif, Jordan mengaku masih merasa gugup ketika dimainkan bermain lagi."
"https://static01.nyt.com/images/2023/10/28/multimedia/00nba-rights-1-zlct/00nba-rights-1-zlct-articleLarge.jpg?quality=75&auto=webp&disable=upscale","NBA","Steve Kerr Menyebut Jimmy Butler Jadi Pembeda Warriors","Jimmy Butler memimpin Golden State Warriors dalam kemenangan atas Los Angeles Lakers 119-109. Warriors mempermalukan Lakers di Crypto.com Arena dalam laga pembuka NBA 2025-2026. Penampilan Butler menuai pujian dari koleganya. Pelatih Steve Kerr menyebut Butler sebagai faktor pembeda dalam tim."
"https://img.ligaolahraga.com/images/news/2025/10/23/preview-nba-sacramento-kings-vs-phoenix-suns-23-okt-2025.jpg","NBA","Preview NBA: Sacramento Kings Vs Phoenix Suns (23 Okt 2025)","Sacramento Kings akan menghadapi Phoenix Suns dalam laga pembuka musim NBA 2025-2026. Kedua tim memiliki ambisi besar untuk memulai musim dengan kemenangan. Kings mengandalkan permainan cepat mereka, sementara Suns mengandalkan chemistry baru di bawah pelatih Jordan Ott."
"https://img.ligaolahraga.com/images/news/2025/10/23/preview-nba-san-antonio-spurs-vs-dallas-mavericks-23-okt-2025.jpg","NBA","Preview NBA: San Antonio Spurs Vs Dallas Mavericks (23 Okt 2025)","Masa depan NBA akan terungkap saat San Antonio Spurs yang bertandang menghadapi Dallas Mavericks pada Rabu (22/10) malam atau Kamis pagi WIB dalam laga pembuka musim bagi kedua tim. Pertandingan ini menandai debut Cooper Flagg, pilihan pertama secara keseluruhan, yang akan menjadi pemain termuda di liga pada usia 18 tahun, 10 bulan, dan satu hari saat ia turun ke lapangan untuk Mavericks."
"https://img.ligaolahraga.com/images/news/2025/10/23/preview-nba-los-angeles-clippers-vs-utah-jazz-23-okt-2025.jpg","NBA","Preview NBA: Los Angeles Clippers Vs Utah Jazz (23 Okt 2025)","Utah Jazz dan Los Angeles Clippers akan bertanding dalam pertandingan pembuka musim mereka di Salt Lake City pada Rabu (22/10) malam atau Kamis pagi WIB dengan tujuan dan arah yang berbeda untuk musim ini. Meskipun masa depan terlihat cerah bagi Utah, masa depan sudah ada di sini bagi Los Angeles."
